Name,Tier,Tags
https://www.youtube.com/@BlackHillsInformationSecurity,SS,"AWESOME CYBER RESOURCE, Blue Teaming, Cybersecurity News, Red Team / Hacking / Pentesting"
https://www.youtube.com/@WildWestHackinFest,SS,Red Team / Hacking / Pentesting
https://www.youtube.com/@JackRhysider,SS,"Entertainment, Understanding Hackers"
https://www.youtube.com/@Cyberspatial,SS,AWESOME CYBER RESOURCE
https://www.youtube.com/@LinusTechTips,S,General IT
https://www.youtube.com/@NetworkChuck,S,"Beginner -> Intermediate , Networking"
https://www.youtube.com/@LAWRENCESYSTEMS,S,"AWESOME CYBER RESOURCE, Networking, Self-Hosting Tech"
https://www.youtube.com/@_JohnHammond,S,"Intermediate -> Advanced, Red Team / Hacking / Pentesting"
https://www.youtube.com/@SANSInstitute,S,Cybersecurity Seminars
https://www.youtube.com/@davidbombal,S,"Beginner -> Intermediate "
https://www.youtube.com/@DBTechYT,S,Self-Hosting Tech
https://www.youtube.com/@Fireship,S,"AWESOME CYBER RESOURCE, Programming & Development"
https://www.youtube.com/@BlackHatOfficialYT,A,Cybersecurity Seminars
https://www.youtube.com/@ceriaspurdue,A,Cybersecurity Seminars
