Name,Tags,Desc,Section,Data
https://www.blackhillsinfosec.com/webcast-no-span-port-no-tap-no-problem/,"RESOURCES for SOLUTIONS, Solution",,HOME NET MONITORING,
https://www.keysight.com/us/en/products/network-visibility/network-taps/taps-vs-spans.html,Definitions & Info,,HOME NET MONITORING,
https://insights.profitap.com/tap-vs-span,"Definitions & Info, Solution",,HOME NET MONITORING,
https://www.gigamon.com/resources/resource-library/white-paper/to-tap-or-to-span.html,"Definitions & Info, Solution",,HOME NET MONITORING,
https://assets.viavisolutions.com/observer/taps/tap-vs-span.php,Solution,,HOME NET MONITORING,
https://www.dnsstuff.com/network-monitoring,Solution,,HOME NET MONITORING,
https://www.sunnyvalley.io/docs/network-security-tutorials/best-firewalls-for-schools,Solution,,HOME NET MONITORING,
https://help.firewalla.com/hc/en-us/community/topics,,,HOME NET MONITORING,
https://ieeexplore.ieee.org/abstract/document/8858471?casa_token=Wj4HdZ9spZkAAAAA:4VJl087LMMhZbJUUIYYJ8274B6Cia5MHVersgHNz5NB-YV2svTuz8VckU9miStvIW_6qx-4zOg,"Home Networks, Threat Model",,HOME NET MONITORING,Securing SMEs in the era of IoT is a very challenging but also extremely important task that cyber-security researchers need to focus on. Legacy signature based anomaly detection techniques are not sufficient anymore as rapid technology improvements lead to new attack schemes.
https://openrepository.aut.ac.nz/handle/10292/15289,"Home Networks, Industry level, Recommendation, Responsibility, Socio-Technial, Solution, Threat Model",,"HOME NET MONITORING, Home Net Threat Modeling, State of Home NetSec Tech","The findings support the conclusion reached through this study and in the lab that home
networks are extremely vulnerable to cyber-attacks. A suitable firewall solution would be of
tremendous assistance in protecting the home network. The home users seek help from ISPs as
previously discussed at great length why the ISP’s role is so important in this whole affair.  ISPs could help a lot with this by giving out certain gateway routers that work for monitoring."
https://www.cisecurity.org/insights/white-papers/cis-controls-telework-and-small-office-network-security-guide,"Home Networks, Recommendation",,"IMPLEMENTATION, State of Home NetSec Tech","CIS has great recommendations, but we are looking at monitoring rather than recommendations."
https://ieeexplore.ieee.org/abstract/document/9791983?casa_token=-CRxVmBbHksAAAAA:IAJBYTFyBecIL-4rYfq2WD02NFc8-DnbBDIxl1kX2yH-cm4nLEZCwZq5W9SY4Nk_lmv-pITPpA,"Home Networks, IDS, Recommendation, SIEM, Solution, Suricata, VPN, Wireguard, Work from Home",,"HOME NET MONITORING, State of Home NetSec Tech","Virtual Private Network (VPN) is one solution for such remote activities. However, VPN products may be confusing for users due to their complexity and user unfriendliness. Fortunately, there existed Wireguard, which is kernel structure of VPN module, that balances in security and ease to use. Embedded system using Raspberry pi armed with VPN Wireguard and equipped with Security Information and Event Management (SIEM) Suricata being one of the solutions to overcome it. In this study, we tried hardening a Work from home network using Wireguard and Suricata. Combination of ease to use in compact hardware and hardening with Interruption Detection System (IDS) give capability result for operation with 18,7% CPU and 22,7% memory usage and protection with captured 100% event port scanning and exploit."
https://link.springer.com/chapter/10.1007/978-3-030-89902-8_24,"Home Networks, IDS, Industry level, Recommendation, SIEM, Solution",,"HOME NET MONITORING, State of Home NetSec Tech","There are advanced SIEMs that can be setup to use blockchain, but therse are also not friendly to the average home user. "
https://etd.ohiolink.edu/apexprod/rws_olink/r/1501/10?clear=10&p10_accession_num=ucin1627662698171667,"Elastic, Firewall, Home Networks, Recommendation, SIEM, Snort, Solution, Work from Home",,"HOME NET MONITORING, State of Home NetSec Tech","The researcher takes an experimentation approach at combining the functionalities of Elasticsearch SIEM and Snort IDS to reinforce a secure SOHO network. A virtual simulation of real-life cyber-attack scenarios was carried out. The researcher found that the design was more effective in reporting attacks than the most alternative. The tools allowed the researcher to analyze the detected attacks, visualize them, and correlate them with open-source rules that take further actions against detected intrusions. Although this design requires more than a basic understanding of setting up, the researcher believes that the quality of its effectiveness may spur further research on how SIEM configuration may be made more accessible and straightforward to use to SOHO administrators."
https://dl.acm.org/doi/book/10.5555/AAI28491602,"Firewall, Home Networks, IDS, SIEM, Snort",,"Firewall, HOME NET MONITORING, Perimeter Security",DNS tunneling exfiltration attacks can avoid even Snort IDS on a home network. These attacks are common against businesses and individuals alike.
